Perfil,Estado,Edad,Genero,ScoreCrediticio,PorcentajeFinanciacion,Plazo,IngresoEstimado,Gastos,CapacidadDePago,ValorCuotaMensual,M3_30AC
1,1,30,0,748,0.685,72,3289800.0,2430508.51,0.361093423,2379693,0
0,1,46,1,670,0.2783,60,2425440.0,1621788.08,0.948770102,847046,0
0,0,39,1,752,1.0,60,30000000.0,3614018.63,12.00921258,2197145,0
1,0,38,0,758,1.0,84,1631331.0,1725244.99,-0.068706024,1366896,0
0,1,60,0,846,0.6596,72,20907400.0,3439341.88,13.00459501,1343222,0
1,1,27,0,689,0.7994,72,2586413.0,1329333.98,1.035123664,1214424,0
0,1,33,1,842,0.5327,72,3847798.0,1318597.93,1.757962558,1438711,0
0,1,59,0,843,0.4418,72,4861498.0,1361091.85,1.840177641,1902211,0
0,1,55,0,826,0.9149,72,2443200.0,878582.72,1.093012843,1431472,0
1,1,38,1,735,1.0371,72,3141628.0,1572308.2,0.914315827,1716387,0
0,1,52,1,735,0.8227,72,2770637.0,1902984.39,0.222950542,3891682,0
1,0,43,0,786,0.9551,60,1588791.0,780068.83,0.659857629,1225601,0
0,0,44,0,769,1.0,48,2268000.0,1168778.74,0.732903588,1499817,0
0,0,32,0,716,0.8,48,4007200.0,1964084.23,1.968917128,1037685,0
0,1,61,0,795,1.0,72,30000000.0,18989480.21,2.490881291,4420331,0
1,1,51,0,840,0.5377,60,4260327.0,752984.78,1.27409898,2752802,0
0,1,66,1,795,1.0237,72,12889933.0,2672990.17,6.044830821,1690195,0
1,1,68,1,797,1.0,72,3834591.0,1473226.78,0.910794908,2592641,0
0,1,38,0,681,0.5693,72,0.0,4998379.25,-2.282181546,2190176,0
0,1,59,1,668,0.7284,84,3541781.0,1345834.77,1.945589694,1128679,0
0,1,47,0,680,0.5652,84,1289004.0,380969.61,0.912696443,994892,0
1,1,54,0,788,0.8059,72,4165708.0,2096345.82,0.918357763,2253329,0
1,1,38,1,883,0.7313,72,30000000.0,5578595.32,6.396743632,3817787,0
1,1,50,0,774,0.76,72,2673181.0,1392232.23,0.712925595,1796750,1
1,1,53,1,788,0.6156,60,12326536.0,2846644.77,3.427908496,2765503,0
0,0,49,1,879,1.0,84,9794384.0,3496593.58,2.132281136,2953546,0
0,1,56,0,845,0.6749,72,13086319.0,3342508.29,2.633092298,3700520,0
1,1,71,0,913,0.778,72,14306617.0,5815987.03,4.34754534,1952971,0
1,1,37,1,784,0.567,72,1395828.0,886108.43,0.353062542,1443709,0
0,1,36,0,711,0.6782,84,2290766.0,2002158.66,0.150894043,1912649,0
0,1,35,1,809,1.0,72,4518568.0,1675993.48,1.197673276,2373414,0
0,1,43,1,892,1.0241,72,14951110.0,5029151.79,2.619696975,3787445,0
1,1,49,0,897,0.9488,72,7422495.0,3855064.04,2.322258939,1536190,0
1,1,69,1,726,0.2144,72,1880541.0,1620687.24,0.570609293,455397,0
1,1,50,0,904,0.441,24,13856161.0,4313240.55,4.105818733,2324243,0
1,0,25,1,647,0.8675,72,1338216.0,838403.57,0.475571595,1050972,0
1,1,33,0,802,1.0,72,3936691.0,1615526.12,0.885275486,2621969,0
1,0,27,1,608,1.0,60,3064402.0,1680864.8,0.685773907,2017483,1
0,1,56,0,915,1.0,72,2773559.0,1066447.04,0.692804261,2464061,0
0,1,61,1,493,0.9476,72,1342824.0,1048987.88,0.140843008,2086267,0
1,1,52,1,662,1.0396,72,1614245.0,1014782.73,0.25953534,2309752,0
1,1,54,1,848,1.0,72,13357400.0,1751422.92,4.641280638,2500598,0
1,1,72,0,726,0.9826,72,0.0,5597552.82,-2.462810838,2272831,0
1,0,34,0,761,1.0,84,8421800.0,1303210.23,6.151048322,1157297,0
1,0,32,0,629,1.0,72,2373990.0,1325624.85,0.896390251,1169541,0
1,1,42,0,647,0.652,72,8656662.0,2748149.05,1.852158935,3190068,0
1,0,43,1,609,1.0,84,0.0,2334653.85,-1.999536767,1167597,0
0,1,52,1,803,1.0121,72,30000000.0,15888826.87,4.001985549,3526043,1
0,1,45,1,756,0.6781,60,10098096.0,2173268.7,2.97780978,2661294,0
1,1,70,0,638,0.3586,72,4371073.0,2400806.28,1.053035737,1871035,0
1,1,52,0,785,1.0,72,12599660.0,2855501.43,1.693098057,5755224,0
0,1,42,1,844,1.0,72,10867800.0,6330274.46,1.465775676,3095648,0
1,1,36,0,884,1.0,72,2020815.0,1108499.98,0.382748782,2383587,0
0,1,38,1,793,0.75,72,2960920.0,5620461.04,-1.086992398,2446697,0
1,1,40,0,699,0.2355,72,4880000.0,3230493.29,2.737352487,602592,0
1,1,32,0,777,0.5396,72,1671429.0,910135.98,0.579943963,1312701,0
0,0,35,0,722,0.6933,72,4471895.0,2872911.05,1.130178943,1414806,0
1,1,45,0,857,1.0,72,2381200.0,2691050.57,-0.125717777,2464652,0
1,1,27,0,826,1.0,72,1657761.0,1105688.33,0.258522714,2135490,0
0,1,36,1,848,0.7126,72,19795645.0,6335423.92,3.021953951,4454145,0
1,1,56,1,947,0.596,72,19667569.0,3132587.48,8.304764328,1991024,0
0,0,28,0,813,0.9473,48,1242611.0,1020724.27,0.220714296,1005312,0
0,0,63,0,820,1.0,84,17206925.0,2361062.62,13.78778807,1076740,0
0,1,49,1,864,1.0,72,1792936.0,3003977.17,-0.219051669,5528564,0
1,1,64,1,706,0.8005,72,3053952.0,2010651.26,0.472671017,2207245,0
0,1,60,1,759,0.1,72,1386751.0,441079.07,2.513841371,376186,0
1,1,35,1,850,1.0,72,3536758.0,1986233.38,0.599823062,2584970,0
1,1,44,0,860,0.3324,72,5849281.0,2431676.53,6.994888249,488586,0
0,1,43,0,634,0.7143,72,1504084.0,936123.77,0.381371536,1489257,0
1,0,32,0,746,0.9688,48,1352720.0,1032276.19,0.285426032,1122686,0
1,0,62,1,852,0.9489,48,1997985.0,972984.71,1.02287986,1002073,1
0,1,55,1,786,0.6202,60,6467298.0,3277729.13,2.555187387,1248272,0
1,0,45,1,791,1.0,60,1759519.0,765201.81,0.809331521,1228566,0
1,1,44,1,833,1.0,72,5279256.0,2389922.33,1.148718474,2515267,0
0,1,30,0,740,0.8685,84,10603267.0,2857579.95,2.179892912,3553242,0
1,0,41,0,730,0.825,72,3982761.0,2185788.32,1.72060039,1044387,0
0,1,31,0,813,0.9215,72,1000000.0,1244239.15,-0.178062427,1371649,0
0,1,43,1,878,0.7562,60,4424172.0,2089192.45,1.353585439,1725033,0
1,1,39,1,783,0.8577,72,4119447.0,2632294.07,1.142827997,1301292,0
0,1,39,0,652,0.4987,72,2930400.0,2272477.32,0.622724427,1056523,0
0,1,33,0,676,0.6,60,17301000.0,6810727.86,5.076470343,2066450,0
1,0,35,1,806,0.8091,60,1013847.0,948436.27,0.090949417,719199,0
1,0,30,0,675,0.7674,72,1302600.0,1171434.61,0.146087172,897857,0
1,1,36,0,746,0.3276,60,4630991.0,4016184.41,0.876653282,701311,0
0,1,49,1,728,0.3023,84,1955024.0,824352.07,1.835035705,616158,0
1,1,40,1,735,1.0,72,1583876.0,1794293.2,-0.099389494,2117097,0
0,0,61,0,935,0.7001,72,3799425.0,637910.56,2.712253979,1165641,0
1,0,62,1,703,1.0,84,1537424.0,578999.94,1.059419589,904669,1
1,1,33,1,790,1.0,72,1216369.0,837749.98,0.238700453,1586168,0
0,0,26,0,810,1.0,72,1548722.0,668247.57,0.583614331,1508658,0
0,1,38,1,904,0.601,72,2161038.0,725931.12,0.938200946,1529637,0
0,1,50,0,838,0.75,60,9505360.0,2866244.42,1.720433197,3858979,0
0,1,32,1,943,0.4006,72,3150463.0,1023902.39,0.986977105,2154620,0
0,1,66,0,852,1.0,60,3287969.0,967473.27,0.819713766,2830861,0
1,0,32,1,684,0.7143,60,1199058.0,644834.01,0.615081371,901058,1
1,1,64,1,739,0.7247,60,3745200.0,3430809.92,0.144942941,2169061,0
1,0,23,0,723,0.9722,48,0.0,514624.26,-0.419675937,1226242,1
1,1,27,1,853,1.0,72,15656036.0,4326760.55,2.628100963,4310822,0
1,1,55,1,852,0.9594,72,2012622.0,520636.21,0.728418346,2048254,0
0,1,38,1,798,0.9189,72,7042550.0,2168983.1,2.109011437,2310830,0
1,1,55,1,742,1.0147,72,2314074.0,956197.58,0.845568469,1605874,1
1,1,71,0,832,1.0,72,4307410.0,2489404.76,0.943111668,1927667,0
