Perfil,Estado,Edad,Genero,ScoreCrediticio,PorcentajeFinanciacion,Plazo,IngresoEstimado,Gastos,CapacidadDePago,ValorCuotaMensual
1,0,25,1,780,0.85,48,2500000,1500000,0.4,950000
0,1,45,0,650,1.20,72,1800000,1900000,-0.055555,1350000
1,1,30,0,820,0.60,36,4000000,2200000,0.45,1100000
0,0,55,1,900,0.40,60,6000000,2800000,0.533333,1200000
1,0,22,1,580,1.10,84,1200000,1300000,-0.083333,1100000
0,1,38,0,710,0.95,60,2300000,2100000,0.086956,1450000
1,1,50,0,860,0.55,48,5000000,3000000,0.4,1650000
0,0,29,1,690,1.05,72,1700000,1800000,-0.0588235,1400000
1,0,60,1,940,0.30,36,8000000,3500000,0.5625,1600000
0,1,34,0,630,0.88,60,2000000,2000000,0.0,1250000
